Team,Player,Goals,Points,GP,TOI,Pos,Point.Shares
Minnesota Wild,Chris Stewart,13,21,79,821,RW,2.3
Minnesota Wild,Jordan Schroeder,6,13,37,362,C,1.6
Minnesota Wild,Martin Hanzal,4,13,20,310,C,1.2
Minnesota Wild,Marco Scandella,4,13,71,1302,D,2.3
Minnesota Wild,Tyler Graovac,7,9,52,512,C,1.1
Minnesota Wild,Christian Folin,2,8,51,762,D,2.3
Minnesota Wild,Joel Eriksson Ek,3,7,15,159,LW,0.8
Minnesota Wild,Nate Prosser,2,7,39,496,D,1.2
Minnesota Wild,Ryan White,2,3,19,189,C,-0.2
Minnesota Wild,Zac Dalpe,1,3,9,77,C,0.3
Minnesota Wild,Gustav Olofsson,0,3,13,175,D,0.3
Minnesota Wild,Teemu Pulkkinen,1,1,9,84,LW,0
Minnesota Wild,Mike Reilly,1,1,17,210,D,0.4
Minnesota Wild,Christoph Bertschy,0,1,5,41,C,0
Minnesota Wild,Kurtis Gabriel,0,1,13,76,RW,0
Minnesota Wild,Darcy Kuemper,0,1,18,1053,G,2.6
Minnesota Wild,Patrick Cannone,0,0,3,24,C,0
Minnesota Wild,Devan Dubnyk,0,0,65,3758,G,13.1
Minnesota Wild,Zack Mitchell,0,0,11,93,RW,-0.2
Minnesota Wild,Alex Stalock,0,0,2,119,G,0.5
Minnesota Wild,Alex Tuch,0,0,6,64,RW,-0.3
St. Louis Blues,Vladimir Tarasenko,39,75,82,1515,RW,10.2
St. Louis Blues,Jaden Schwartz,19,55,78,1475,LW,6.4
St. Louis Blues,Alex Steen,16,51,76,1467,LW,5
St. Louis Blues,Alex Pietrangelo,14,48,80,2023,D,9.2
St. Louis Blues,David Perron,18,46,82,1418,LW,4.7
St. Louis Blues,Kevin Shattenkirk,11,42,61,1211,D,6.2
St. Louis Blues,Paul Stastny,18,40,66,1263,C,4.5
St. Louis Blues,Colton Parayko,4,35,81,1717,D,6.7
St. Louis Blues,Patrik Berglund,23,34,82,1311,C,3.9
St. Louis Blues,Robby Fabbri,11,29,51,796,C,2.5
St. Louis Blues,Jori Lehtera,7,22,64,971,C,1.4
St. Louis Blues,Scottie Upshall,10,18,73,802,RW,1.8
St. Louis Blues,Kyle Brodziak,8,15,69,773,C,1.4
St. Louis Blues,Joel Edmundson,3,15,69,1226,D,4.2
St. Louis Blues,Jay Bouwmeester,1,15,81,1815,D,4.1
St. Louis Blues,Magnus Paajarvi,8,13,32,389,LW,2.1
St. Louis Blues,Ryan Reaves,7,13,80,711,RW,1.2
St. Louis Blues,Ivan Barbashev,5,12,30,354,C,1.5
St. Louis Blues,Dmitrij Jaskin,1,11,51,589,RW,0.6
St. Louis Blues,Nail Yakupov,3,9,40,426,RW,0.5
St. Louis Blues,Carl Gunnarsson,0,6,56,761,D,1
St. Louis Blues,Zachary Sanford,2,5,13,159,LW,0.6
St. Louis Blues,Brad Hunt,1,5,9,122,D,0.6
St. Louis Blues,Robert Bortuzzo,1,4,38,535,D,2
St. Louis Blues,Kenny Agostino,1,3,7,89,LW,0.3
St. Louis Blues,Jordan Schmaltz,0,2,9,129,D,0.4
St. Louis Blues,Wade Megan,1,1,3,26,C,0.2
St. Louis Blues,Vladimir Sobotka,1,1,1,17,LW,0.2
St. Louis Blues,Jake Allen,0,1,61,3418,G,9.8
St. Louis Blues,Carter Hutton,0,1,30,1459,G,3.8
St. Louis Blues,Chris Butler,0,0,1,21,D,0
St. Louis Blues,Pheonix Copley,0,0,1,59,G,-0.1
St. Louis Blues,Petteri Lindbohm,0,0,7,91,D,-0.2
St. Louis Blues,Ty Rattie,0,0,4,29,RW,0
Nashville Predators,Viktor Arvidsson,31,61,80,1372,LW,8.7
Nashville Predators,Ryan Johansen,14,61,82,1545,C,5.8
Nashville Predators,Filip Forsberg,31,58,82,1518,LW,7.2
Nashville Predators,Roman Josi,12,49,72,1805,D,8.7
Nashville Predators,Mike Fisher,18,42,72,1196,C,4.7
Nashville Predators,James Neal,23,41,70,1239,RW,4.6
Nashville Predators,P.K. Subban,10,40,66,1611,D,6.1
Nashville Predators,Ryan Ellis,16,38,71,1701,D,8.7
Nashville Predators,Colin Wilson,12,35,70,1047,LW,3.8
Nashville Predators,Calle Jarnkrok,15,31,81,1274,C,2.9
Nashville Predators,Craig Smith,12,29,78,1078,RW,3
Nashville Predators,Mike Ribeiro,4,25,46,735,C,1.8
Nashville Predators,Mattias Ekholm,3,23,82,1924,D,4.6
Nashville Predators,Austin Watson,5,17,77,957,LW,1.4
Nashville Predators,Kevin Fiala,11,16,54,730,LW,1.8
Nashville Predators,Matt Irwin,3,14,74,1204,D,4
Nashville Predators,Colton Sissons,8,10,58,645,C,1.4
Nashville Predators,Yannick Weber,1,8,73,870,D,1.7
Nashville Predators,Anthony Bitetto,0,7,29,342,D,0.9
Nashville Predators,Cody McLeod,4,5,31,258,LW,0.5
Nashville Predators,Harry Zolnierczyk,2,4,24,213,LW,0.2
Nashville Predators,Pontus Aberg,1,2,15,185,LW,-0.1
Nashville Predators,Reid Boucher,1,1,3,26,C,0.2
Nashville Predators,Vernon Fiddler,1,1,20,210,LW,-0.3
Nashville Predators,Matt Carle,0,1,6,79,D,0.1
Nashville Predators,Frederick Gaudreau,0,1,9,78,C,0
Nashville Predators,Derek Grant,0,1,6,52,C,-0.1
Nashville Predators,Brad Hunt,0,1,3,52,D,0.2
Nashville Predators,Marek Mazanec,0,1,4,178,G,-0.2
Nashville Predators,P.A. Parenteau,0,1,8,101,RW,-0.1
Nashville Predators,Juuse Saros,0,1,21,1200,G,4.4
Nashville Predators,Cody Bass,0,0,9,61,C,-0.1
Nashville Predators,Alexandre Carrier,0,0,2,21,D,0.1
Nashville Predators,Petter Granberg,0,0,10,96,D,0.1
Nashville Predators,Vladislav Kamenev,0,0,2,20,LW,-0.1
Nashville Predators,Mike Liambas,0,0,1,5,LW,-0.1
Nashville Predators,Adam Pardy,0,0,4,44,D,-0.1
Nashville Predators,Pekka Rinne,0,0,61,3568,G,11.3
Nashville Predators,Miikka Salomaki,0,0,5,61,RW,-0.1
Nashville Predators,Trevor Smith,0,0,1,7,C,0
Winnipeg Jets,Mark Scheifele,32,82,79,1624,C,10.3
Winnipeg Jets,Blake Wheeler,26,74,82,1652,RW,8.2
Winnipeg Jets,Patrik Laine,36,64,73,1308,RW,8.9
Winnipeg Jets,Nikolaj Ehlers,25,64,82,1434,LW,7.2
Winnipeg Jets,Dustin Byfuglien,13,52,80,2196,D,8.5
Winnipeg Jets,Bryan Little,21,47,59,1036,C,5.3
Winnipeg Jets,Mathieu Perreault,13,45,65,1059,C,4
Winnipeg Jets,Jacob Trouba,8,33,60,1498,D,5.2
Winnipeg Jets,Adam Lowry,15,29,82,1316,C,2.4
Winnipeg Jets,Josh Morrissey,6,20,82,1598,D,3.7
Winnipeg Jets,Joel Armia,10,19,57,863,RW,1.2
Winnipeg Jets,Andrew Copp,9,17,64,790,C,1.7
Winnipeg Jets,Toby Enstrom,1,14,60,1314,D,1.3
Winnipeg Jets,Paul Postma,1,14,65,706,D,2.1
Winnipeg Jets,Drew Stafford,4,13,40,532,RW,0.8
Winnipeg Jets,Nic Petan,1,13,54,589,LW,-0.1
Winnipeg Jets,Shawn Matthias,8,12,45,610,LW,1.1
Winnipeg Jets,Ben Chiarot,2,12,59,904,D,1.9
Winnipeg Jets,Marko Dano,4,11,38,406,C,0.9
Winnipeg Jets,Kyle Connor,2,5,20,244,LW,0
Winnipeg Jets,Tyler Myers,2,5,11,244,D,1.2
Winnipeg Jets,Chris Thorburn,3,4,64,446,RW,-0.4
Winnipeg Jets,Mark Stuart,2,4,42,523,D,1.1
Winnipeg Jets,Brandon Tanev,2,4,51,545,LW,-0.6
Winnipeg Jets,Alexander Burmistrov,0,2,23,254,C,-0.5
Winnipeg Jets,Julian Melchiori,0,2,18,331,D,0.3
Winnipeg Jets,Brian Strait,0,2,5,80,D,0.2
Winnipeg Jets,Eric Comrie,0,0,1,59,G,0.2
Winnipeg Jets,Connor Hellebuyck,0,0,56,3034,G,8.1
Winnipeg Jets,Quinton Howden,0,0,5,43,C,0
Winnipeg Jets,Michael Hutchinson,0,0,28,1378,G,3.2
Winnipeg Jets,Nelson Nogier,0,0,10,117,D,-0.1
Winnipeg Jets,Ondrej Pavelec,0,0,8,440,G,0.7
Winnipeg Jets,Jack Roslovic,0,0,1,8,C,-0.1
Dallas Stars,Tyler Seguin,26,72,82,1514,C,7.5
Dallas Stars,Jamie Benn,26,69,77,1492,LW,7.5
Dallas Stars,Jason Spezza,15,50,68,1100,C,4.5
Dallas Stars,John Klingberg,13,49,80,1868,D,8.1
Dallas Stars,Patrick Eaves,21,37,59,982,RW,4.2
Dallas Stars,Devin Shore,13,33,82,1159,C,2.8
Dallas Stars,Radek Faksa,12,33,80,1294,C,2.4
Dallas Stars,Antoine Roussel,12,27,60,931,LW,2.7
Dallas Stars,Brett Ritchie,16,24,78,1006,RW,3.1
Dallas Stars,Lauri Korpikoski,8,20,60,782,LW,1.9
Dallas Stars,Patrick Sharp,8,18,48,765,LW,0.6
Dallas Stars,Esa Lindell,6,18,73,1597,D,4.2
Dallas Stars,Adam Cracknell,10,16,69,722,RW,1.9
Dallas Stars,Curtis McKenzie,6,16,53,575,LW,1.6
Dallas Stars,Dan Hamhuis,1,16,79,1529,D,2.2
Dallas Stars,Jordie Benn,2,15,58,1079,D,2.2
Dallas Stars,Cody Eakin,3,12,60,1009,C,-0.5
Dallas Stars,Jiri Hudler,3,11,32,379,RW,0.7
Dallas Stars,Stephen Johns,4,10,61,1114,D,1.3
Dallas Stars,Jamie Oleksiak,5,7,41,665,D,1.4
Dallas Stars,Ales Hemsky,4,7,15,216,RW,0.8
Dallas Stars,Remi Elie,1,7,18,281,LW,0.6
Dallas Stars,Johnny Oduya,1,7,37,672,D,1.1
Dallas Stars,Gemel Smith,3,6,17,231,C,0.5
Dallas Stars,Julius Honka,1,5,16,270,D,0.5
Dallas Stars,Patrik Nemeth,0,3,40,631,D,0.3
Dallas Stars,Greg Pateryn,0,3,12,210,D,0.3
Dallas Stars,Jason Dickinson,2,2,10,118,C,0.1
Dallas Stars,Justin Dowling,0,2,9,94,C,0
Dallas Stars,Kari Lehtonen,0,1,59,3177,G,7.1
Dallas Stars,Denis Gurianov,0,0,1,13,RW,-0.1
Dallas Stars,Mark McNeill,0,0,1,14,RW,-0.1
Dallas Stars,Antti Niemi,0,0,37,1729,G,3
Colorado Avalanche,Nathan MacKinnon,16,53,82,1635,C,4.8
Colorado Avalanche,Matt Duchene,18,41,77,1409,C,3.1
Colorado Avalanche,Mikko Rantanen,20,39,75,1354,RW,3.6
Colorado Avalanche,Tyson Barrie,7,38,74,1725,D,4.4
Colorado Avalanche,Gabriel Landeskog,18,33,72,1352,LW,2.7
Colorado Avalanche,Mikhail Grigorenko,10,23,75,1057,C,1.6
Colorado Avalanche,Blake Comeau,8,20,77,1154,LW,0.7
Colorado Avalanche,Rene Bourque,12,18,65,906,RW,1.2
Colorado Avalanche,Jarome Iginla,8,18,61,900,RW,0.7
Colorado Avalanche,Francois Beauchemin,5,18,81,1743,D,3.7
Colorado Avalanche,Erik Johnson,2,17,46,1016,D,2.9
Colorado Avalanche,Sven Andrighetto,5,15,19,332,RW,1.8
Colorado Avalanche,Carl Soderberg,6,14,80,1076,C,-0.4
Colorado Avalanche,Fedor Tyutin,1,13,69,1307,D,1.2
Colorado Avalanche,Patrick Wiercioch,4,12,57,950,D,1.5
Colorado Avalanche,Matthew Nieto,7,11,43,685,LW,0.6
Colorado Avalanche,Nikita Zadorov,0,10,56,1066,D,0.8
Colorado Avalanche,Mark Barberio,2,9,34,702,D,1.6
Colorado Avalanche,Joe Colborne,4,8,62,663,C,-0.5
Colorado Avalanche,Andreas Martinsen,3,7,55,530,LW,-0.1
Colorado Avalanche,John Mitchell,3,7,65,816,C,-0.6
Colorado Avalanche,J.T. Compher,3,5,21,314,LW,0.4
Colorado Avalanche,Cody Goloubef,0,5,33,561,D,0.4
Colorado Avalanche,Calvin Pickard,0,2,50,2820,G,7.1
Colorado Avalanche,Samuel Henley,1,1,1,5,C,0.3
Colorado Avalanche,Tyson Jost,1,1,6,94,C,-0.1
Colorado Avalanche,Cody McLeod,1,1,28,165,LW,-0.1
Colorado Avalanche,Eric Gelinas,0,1,27,313,D,0.2
Colorado Avalanche,A.J. Greer,0,1,5,68,LW,-0.1
Colorado Avalanche,Rocco Grimaldi,0,1,4,44,C,-0.1
Colorado Avalanche,Semyon Varlamov,0,1,24,1348,G,3.1
Colorado Avalanche,Gabriel Bourque,0,0,6,67,LW,-0.1
Colorado Avalanche,Anton Lindholm,0,0,12,177,D,-0.4
Colorado Avalanche,Spencer Martin,0,0,3,179,G,0
Colorado Avalanche,Duncan Siemens,0,0,3,37,D,-0.1
Colorado Avalanche,Ben Smith,0,0,4,43,RW,-0.1
Colorado Avalanche,Jeremy Smith,0,0,10,543,G,0.8
San Jose Sharks,Brent Burns,29,76,82,2039,D,15.3
San Jose Sharks,Joe Pavelski,29,68,81,1549,C,8.7
San Jose Sharks,Logan Couture,25,52,73,1285,C,6.9
San Jose Sharks,Joe Thornton,7,50,79,1427,C,4.3
San Jose Sharks,Patrick Marleau,27,46,82,1407,LW,6
San Jose Sharks,Joel Ward,10,29,78,1244,RW,2.2
San Jose Sharks,Marc-Edouard Vlasic,6,28,75,1593,D,5.8
San Jose Sharks,Mikkel Boedker,10,26,81,1162,LW,2.1
San Jose Sharks,Paul Martin,4,26,81,1557,D,5.8
San Jose Sharks,Chris Tierney,11,23,80,1168,C,1.9
San Jose Sharks,Melker Karlsson,11,22,67,858,C,2.6
San Jose Sharks,Tomas Hertl,10,22,49,844,C,1.9
San Jose Sharks,Kevin Labanc,8,20,55,752,RW,2.3
San Jose Sharks,David Schlemko,2,18,62,1038,D,3.7
San Jose Sharks,Joonas Donskoi,6,17,61,842,RW,1
San Jose Sharks,Justin Braun,4,13,81,1626,D,3.7
San Jose Sharks,Micheal Haley,2,12,58,532,C,1
San Jose Sharks,Brenden Dillon,2,10,81,1334,D,2.6
San Jose Sharks,Tommy Wingels,5,8,37,372,C,0.8
San Jose Sharks,Dylan DeMelo,1,8,25,397,D,1.6
San Jose Sharks,Jannik Hansen,2,7,15,233,RW,0.6
San Jose Sharks,Timo Meier,3,6,34,424,RW,0.4
San Jose Sharks,Ryan Carpenter,2,4,11,114,C,0.7
San Jose Sharks,Marcus Sorensen,1,4,19,205,RW,0.2
San Jose Sharks,Mirco Mueller,1,2,4,38,D,0.5
San Jose Sharks,Matthew Nieto,0,2,16,195,LW,-0.2
San Jose Sharks,Daniel O'Regan,1,1,3,35,C,0.1
San Jose Sharks,Barclay Goodrow,0,1,3,34,RW,0.1
San Jose Sharks,Aaron Dell,0,0,20,1111,G,4.2
San Jose Sharks,Nikolay Goldobin,0,0,2,20,LW,-0.1
San Jose Sharks,Tim Heed,0,0,1,16,D,0
San Jose Sharks,Martin Jones,0,0,65,3800,G,9.9
Anaheim Ducks,Ryan Getzlaf,15,73,74,1559,C,7.6
Anaheim Ducks,Ryan Kesler,22,58,82,1747,C,6.5
Anaheim Ducks,Corey Perry,19,53,82,1453,RW,5.8
Anaheim Ducks,Rickard Rakell,33,51,71,1234,C,7.8
Anaheim Ducks,Jakob Silfverberg,23,49,79,1460,RW,6.1
Anaheim Ducks,Cam Fowler,11,39,80,1988,D,8.3
Anaheim Ducks,Andrew Cogliano,16,35,82,1241,LW,4.2
Anaheim Ducks,Nick Ritchie,14,28,77,1000,LW,3.2
Anaheim Ducks,Antoine Vermette,9,28,72,1145,C,2
Anaheim Ducks,Sami Vatanen,3,24,71,1538,D,4.9
Anaheim Ducks,Hampus Lindholm,6,20,66,1482,D,5.6
Anaheim Ducks,Josh Manson,5,17,82,1527,D,5.3
Anaheim Ducks,Ondrej Kase,5,15,53,625,RW,1.2
Anaheim Ducks,Patrick Eaves,11,14,20,314,RW,2.6
Anaheim Ducks,Kevin Bieksa,3,14,81,1519,D,3.5
Anaheim Ducks,Joseph Cramarossa,4,10,49,481,LW,0.8
Anaheim Ducks,Logan Shaw,3,10,55,534,RW,0.7
Anaheim Ducks,Shea Theodore,2,9,34,589,D,1.4
Anaheim Ducks,Chris Wagner,6,7,43,402,C,0.9
Anaheim Ducks,Korbinian Holzer,2,7,32,432,D,1.5
Anaheim Ducks,Brandon Montour,2,6,27,469,D,2.3
Anaheim Ducks,Ryan Garbutt,2,3,27,247,LW,0
Anaheim Ducks,Clayton Stoner,1,3,14,246,D,0.7
Anaheim Ducks,Jared Boll,0,3,51,297,RW,-0.3
Anaheim Ducks,Stefan Noesen,2,2,12,79,RW,0.4
Anaheim Ducks,Nate Thompson,1,2,30,312,C,0
Anaheim Ducks,Michael Sgarbossa,0,2,9,85,C,0
Anaheim Ducks,John Gibson,0,1,52,2950,G,10.3
Anaheim Ducks,Nick Sorensen,0,1,5,54,RW,0
Anaheim Ducks,Jonathan Bernier,0,0,39,1993,G,6
Anaheim Ducks,Simon Despres,0,0,1,16,D,0
Anaheim Ducks,Emerson Etem,0,0,3,26,LW,0
Anaheim Ducks,Nicolas Kerdiles,0,0,1,11,LW,0
Anaheim Ducks,Kalle Kossila,0,0,1,7,LW,0
Anaheim Ducks,Jacob Larsson,0,0,4,66,D,0
Anaheim Ducks,Jaycob Megna,0,0,1,15,D,0.1
Anaheim Ducks,Mason Raymond,0,0,4,36,LW,-0.1
Anaheim Ducks,Dustin Tokarski,0,0,1,10,G,0.1
Anaheim Ducks,Corey Tropp,0,0,1,9,RW,-0.1
Calgary Flames,Johnny Gaudreau,18,61,72,1331,LW,6.1
Calgary Flames,Sean Monahan,27,58,82,1441,C,6.9
Calgary Flames,Mikael Backlund,22,53,81,1426,C,6.2
Calgary Flames,Dougie Hamilton,13,50,81,1594,D,9.5
Calgary Flames,Matthew Tkachuk,13,48,76,1114,LW,5.4
Calgary Flames,Michael Frolik,17,44,82,1401,RW,4.9
Calgary Flames,Mark Giordano,12,39,81,1910,D,9.4
Calgary Flames,Kris Versteeg,15,37,69,1016,RW,3.9
Calgary Flames,T.J. Brodie,6,36,82,1934,D,5.3
Calgary Flames,Sam Bennett,13,26,81,1214,C,1.6
Calgary Flames,Micheal Ferland,15,25,76,879,LW,2.9
Calgary Flames,Troy Brouwer,13,25,74,1200,RW,1.7
Calgary Flames,Alex Chiasson,12,24,81,1084,RW,1.9
Calgary Flames,Matt Stajan,6,23,81,1027,C,1.6
Calgary Flames,Dennis Wideman,5,18,57,1153,D,3.2
Calgary Flames,Deryk Engelland,4,16,81,1485,D,3.9
Calgary Flames,Lance Bouma,3,7,61,692,C,-0.1
Calgary Flames,Michael Stone,2,6,19,358,D,1.7
Calgary Flames,Jyrki Jokipakka,1,6,38,548,D,1.1
Calgary Flames,Garnet Hathaway,1,5,26,238,RW,0.3
Calgary Flames,Curtis Lazar,1,3,4,47,RW,0.4
Calgary Flames,Brett Kulak,0,3,21,299,D,0.4
Calgary Flames,Freddie Hamilton,2,2,26,254,C,-0.1
Calgary Flames,Matt Bartkowski,1,2,24,369,D,0.4
Calgary Flames,Hunter Shinkaruk,0,1,7,74,LW,-0.1
Calgary Flames,Rasmus Andersson,0,0,1,19,D,-0.1
Calgary Flames,Brian Elliott,0,0,49,2844,G,7.3
Calgary Flames,Jon Gillies,0,0,1,60,G,0.3
Calgary Flames,Nicklas Grossmann,0,0,3,39,D,-0.3
Calgary Flames,Mark Jankowski,0,0,1,10,C,0
Calgary Flames,Chad Johnson,0,0,36,2013,G,5.4
Calgary Flames,David Rittich,0,0,1,20,G,0
Calgary Flames,Linden Vey,0,0,4,44,RW,-0.2
Calgary Flames,Tyler Wotherspoon,0,0,4,44,D,-0.1
Edmonton Oilers,Connor McDavid,30,100,82,1733,C,12.8
Edmonton Oilers,Leon Draisaitl,29,77,82,1548,C,9.6
Edmonton Oilers,Jordan Eberle,20,51,82,1375,RW,5.7
Edmonton Oilers,Milan Lucic,23,50,82,1407,LW,5.7
Edmonton Oilers,Ryan Nugent-Hopkins,18,43,82,1451,C,4
Edmonton Oilers,Patrick Maroon,27,42,81,1356,LW,6
Edmonton Oilers,Oscar Klefbom,12,38,82,1834,D,7.6
Edmonton Oilers,Mark Letestu,16,35,78,1111,C,3.7
Edmonton Oilers,Andrej Sekera,8,35,80,1719,D,7.3
Edmonton Oilers,Zack Kassian,7,24,79,972,RW,2
Edmonton Oilers,Adam Larsson,4,19,79,1592,D,5.5
Edmonton Oilers,Drake Caggiula,7,18,60,794,LW,1.6
Edmonton Oilers,Matt Benning,3,15,62,1030,D,3.5
Edmonton Oilers,Benoit Pouliot,8,14,67,942,LW,0.6
Edmonton Oilers,Kris Russell,1,13,68,1443,D,3.1
Edmonton Oilers,Tyler Pitlick,8,11,31,308,RW,1.6
Edmonton Oilers,Darnell Nurse,5,11,44,749,D,2.4
Edmonton Oilers,Anton Slepyshev,4,10,41,456,LW,1
Edmonton Oilers,Jesse Puljujarvi,1,8,28,315,RW,0.7
Edmonton Oilers,Matt Hendricks,4,7,42,451,LW,0.3
Edmonton Oilers,Eric Gryba,2,6,40,646,D,1
Edmonton Oilers,David Desharnais,2,4,18,204,C,0.3
Edmonton Oilers,Iiro Pakarinen,2,4,14,125,RW,0.5
Edmonton Oilers,Anton Lander,1,4,22,215,C,0.3
Edmonton Oilers,Mark Fayne,0,2,4,32,D,0.3
Edmonton Oilers,Jujhar Khaira,1,1,10,93,LW,0.1
Edmonton Oilers,Brandon Davidson,0,1,28,431,D,0.5
Edmonton Oilers,Taylor Beck,0,0,3,18,LW,-0.1
Edmonton Oilers,Laurent Brossoit,0,0,8,332,G,1.2
Edmonton Oilers,Jonas Gustavsson,0,0,7,329,G,0.2
Edmonton Oilers,Jordan Oesterle,0,0,2,35,D,-0.1
Edmonton Oilers,Dillon Simpson,0,0,3,33,D,0
Edmonton Oilers,Cam Talbot,0,0,73,4294,G,14
Los Angeles Kings,Jeff Carter,32,66,82,1479,C,9
Los Angeles Kings,Anze Kopitar,12,52,76,1578,C,4.6
Los Angeles Kings,Tanner Pearson,24,44,80,1306,LW,6
Los Angeles Kings,Drew Doughty,12,44,82,2226,D,10.5
Los Angeles Kings,Alec Martinez,9,39,82,1775,D,6.8
Los Angeles Kings,Dustin Brown,14,36,80,1280,RW,3.7
Los Angeles Kings,Tyler Toffoli,16,34,63,1045,C,4.4
Los Angeles Kings,Jake Muzzin,9,28,82,1828,D,5.4
Los Angeles Kings,Trevor Lewis,12,24,82,1170,C,2.2
Los Angeles Kings,Nic Dowd,6,22,70,872,C,1.3
Los Angeles Kings,Marian Gaborik,10,21,56,828,RW,2.2
Los Angeles Kings,Derek Forbort,2,18,82,1650,D,5.6
Los Angeles Kings,Nick Shore,6,17,70,895,C,1.3
Los Angeles Kings,Dwight King,8,15,63,945,LW,1.3
Los Angeles Kings,Kyle Clifford,6,12,73,783,LW,0.9
Los Angeles Kings,Devin Setoguchi,4,12,45,560,RW,0.8
Los Angeles Kings,Jarome Iginla,6,9,19,310,RW,0.9
Los Angeles Kings,Jordan Nolan,4,8,46,499,C,0.5
Los Angeles Kings,Paul Ladue,0,8,22,339,D,1
Los Angeles Kings,Kevin Gravel,1,7,49,693,D,2.3
Los Angeles Kings,Adrian Kempe,2,6,25,306,LW,0.4
Los Angeles Kings,Tom Gilbert,1,5,18,278,D,0.8
Los Angeles Kings,Brayden McNabb,2,4,49,738,D,2
Los Angeles Kings,Matt Greene,1,2,26,343,D,1.2
Los Angeles Kings,Andy Andreoff,0,2,36,381,LW,-0.4
Los Angeles Kings,Jonny Brodzinski,0,2,6,74,C,0.2
Los Angeles Kings,Teddy Purcell,0,2,12,155,LW,0
Los Angeles Kings,Peter Budaj,0,1,53,3029,G,8.1
Los Angeles Kings,Ben Bishop,0,0,7,410,G,0.7
Los Angeles Kings,Jack Campbell,0,0,1,20,G,0.1
Los Angeles Kings,Jonathan Quick,0,0,17,931,G,2.7
Los Angeles Kings,Jeff Zatkoff,0,0,13,550,G,0.4
Vancouver Canucks,Bo Horvat,20,52,81,1461,C,5.7
Vancouver Canucks,Henrik Sedin,15,51,82,1561,C,4
Vancouver Canucks,Daniel Sedin,15,44,82,1508,LW,3.8
Vancouver Canucks,Sven Baertschi,18,35,68,1080,LW,4.1
Vancouver Canucks,Brandon Sutter,17,34,81,1523,C,2.7
Vancouver Canucks,Markus Granlund,19,32,69,1194,C,3.2
Vancouver Canucks,Loui Eriksson,11,24,65,1214,LW,1.8
Vancouver Canucks,Troy Stecher,3,24,71,1419,D,3.7
Vancouver Canucks,Alexander Edler,6,21,68,1653,D,3.6
Vancouver Canucks,Alexandre Burrows,9,20,55,823,RW,1.9
Vancouver Canucks,Ben Hutton,5,19,71,1455,D,2.9
Vancouver Canucks,Jannik Hansen,6,13,28,458,RW,1.5
Vancouver Canucks,Luca Sbisa,2,13,82,1556,D,3.7
Vancouver Canucks,Chris Tanev,2,10,53,1078,D,3.1
Vancouver Canucks,Jack Skille,5,9,55,484,RW,0.9
Vancouver Canucks,Nikita Tryamkin,2,9,66,1105,D,2.2
Vancouver Canucks,Michael Chaput,4,8,68,750,C,-0.3
Vancouver Canucks,Jayson Megna,4,8,58,721,C,0.1
Vancouver Canucks,Reid Boucher,5,7,27,329,LW,0.6
Vancouver Canucks,Erik Gudbranson,1,6,30,610,D,0.5
Vancouver Canucks,Philip Larsen,1,6,26,428,D,0.7
Vancouver Canucks,Brock Boeser,4,5,9,146,RW,0.8
Vancouver Canucks,Brendan Gaunce,0,5,57,541,LW,-0.3
Vancouver Canucks,Derek Dorsett,1,4,14,139,RW,0.1
Vancouver Canucks,Nikolay Goldobin,3,3,12,140,RW,0.5
Vancouver Canucks,Alex Biega,0,3,36,474,D,0.7
Vancouver Canucks,Drew Shore,0,2,14,168,C,-0.1
Vancouver Canucks,Ryan Miller,0,1,54,3212,G,10.3
Vancouver Canucks,Anton Rodin,0,1,3,27,RW,0.1
Vancouver Canucks,Jake Virtanen,0,1,10,101,RW,0
Vancouver Canucks,Richard Bachman,0,0,5,295,G,1.1
Vancouver Canucks,Joseph Cramarossa,0,0,10,106,LW,-0.2
Vancouver Canucks,Alexandre Grenier,0,0,3,19,RW,-0.1
Vancouver Canucks,Joseph Labate,0,0,13,88,C,-0.2
Vancouver Canucks,Jacob Markstrom,0,0,26,1417,G,3.8
Vancouver Canucks,Evan McEneny,0,0,1,15,D,-0.1
Vancouver Canucks,Griffen Molino,0,0,5,53,C,-0.2
Vancouver Canucks,Borna Rendulic,0,0,1,5,RW,0
Vancouver Canucks,Michael Zalewski,0,0,1,8,LW,-0.1
Arizona Coyotes,Radim Vrbata,20,55,81,1369,RW,5.3
Arizona Coyotes,Oliver Ekman-Larsson,12,39,79,1945,D,5.6
Arizona Coyotes,Max Domi,9,38,59,1002,LW,3.2
Arizona Coyotes,Alex Goligoski,6,36,82,1913,D,5.9
Arizona Coyotes,Tobias Rieder,16,34,80,1385,RW,3
Arizona Coyotes,Christian Dvorak,15,33,78,1218,LW,3.6
Arizona Coyotes,Shane Doan,6,27,74,1114,RW,1.7
Arizona Coyotes,Martin Hanzal,16,26,51,948,C,2.5
Arizona Coyotes,Jordan Martinook,11,25,77,1207,LW,1.7
Arizona Coyotes,Brendan Perlini,14,21,57,846,LW,2.3
Arizona Coyotes,Jakob Chychrun,7,20,68,1133,D,3
Arizona Coyotes,Jamie McGinn,9,17,72,948,LW,0.4
Arizona Coyotes,Connor Murphy,2,17,77,1477,D,2.5
Arizona Coyotes,Anthony Duclair,5,15,58,771,LW,0.7
Arizona Coyotes,Alexander Burmistrov,5,14,26,400,C,1.4
Arizona Coyotes,Anthony DeAngelo,5,14,39,667,D,1.7
Arizona Coyotes,Ryan White,7,13,46,504,C,1.1
